leverantör,year,belopp
A.O.S PRODUCTION AKTIEBOLAG,2018,155300.0
A.O.S PRODUCTION AKTIEBOLAG,2019,59000.0
A.W. CREATIVITY,2019,3500.0
A.ÖJEHAGENAB,2016,6000.0
A2ZOUND BY SEMCON AB,2017,83121.5
A2ZOUND BY SEMCON AB,2018,42403.98
A2ZOUND BY SEMCON AB,2019,43246.3
A3 PRIVAT AB (FB),2017,191.23
A3 PROFIL & PROMOTION AB,2016,2775.25
A4 TEXT & FORM AB,2017,4500.0
AA BYGG & KERAMIKSPECIAL,2019,36650.5
AAA ARC AND ART HB,2018,6500.0
AABID INTEGRATION AB,2016,1906747.0
AABID INTEGRATION AB,2017,1225936.0
AABID INTEGRATION AB,2018,348400.0
AADAX TOTALLÅS AB,2019,74348.8
AAREON SVERIGE AB,2018,1801533.9499999997
AAREON SVERIGE AB,2019,2047059.7799999993
AARHUS KOMMUNE,2019,85140.0
AARO & CO. APS,2017,8606.16
AARSLEFF GRUNDLÄGGNINGS AB,2018,1778482.0
AARSLEFF GRUNDLÄGGNINGS AB,2019,68438.0
AARSLEFF RÖRTEKNIK AB,2016,358836.02
AARSLEFF RÖRTEKNIK AB,2017,5817731.16
AARSLEFF RÖRTEKNIK AB,2018,1989483.4600000002
AARSLEFF RÖRTEKNIK AB,2019,1704745.8599999999
AASE BERG AB,2017,6330.0
AASE BERG AB,2019,4765.0
AB 1909 SIGTUNA STADS HOTELL,2017,3158.47
AB 3DROPPAR,2016,2400.0
AB ABAMA,2016,74231.41000000002
AB ABAMA,2017,104333.99
AB ABAMA,2018,69374.31
AB ABAMA,2019,28952.380000000005
AB AGERGÅRDS MASKINER,2016,1056.0
AB AGRENCO,2016,87049.52
AB AGRENCO,2018,14475.25
AB AKADEMINS TRAFIKCENTER,2016,5720.0
AB AKADEMINS TRAFIKCENTER,2018,3960.04
AB ALERMA,2016,1248.75
AB ALLAN ANDERSSON PLÅTSLAGERI,2018,1650.5
AB ALRIK HEDLUND,2016,160.0
AB ANDERS HILERTZ,2018,5900.280000000001
AB ANDERS HILERTZ,2019,5003.25
AB ANDERSSON & NYBERG,2017,473.22
AB ANDERSSON & NYBERG,2018,1035.76
AB ANDERSSON & NYBERG,2019,390.7
AB ARVID ERIKSSON,2016,30494.190000000002
AB ARVID ERIKSSON,2017,1722.54
AB AVTAL 24,2017,796.0
AB BEACO KONTORSMATERIAL,2016,1298.5
AB BJÖRN BLOMQVIST TOOLS,2016,627.25
AB BORLÄNGE ENERGI,2018,2216.79
AB BOXCAR,2016,6675.0
AB BRA OMSORG I SVERIGE,2019,6507233.57
AB BREDARYDS MÖBLER,2017,22400.0
AB BROR R SJÖBERGS MÅLERI,2018,16250.0
AB BROR R SJÖBERGS MÅLERI,2019,16250.0
AB BYGGRUPPEN I MARIEHOLM-GÖTEBORG,2017,1000000.0
AB BYGGRUPPEN I MARIEHOLM-GÖTEBORG,2018,3068025.79
AB BYGGRUPPEN I MARIEHOLM-GÖTEBORG,2019,15220824.38
AB C.I. FALL,2017,356.85
AB CD BYGG,2016,115935909.02
AB CD BYGG,2017,109548474.12
AB CD BYGG,2018,142048961.39
AB CD BYGG,2019,181873401.58
AB CEAN (FB),2018,300200.0
AB CHARLOTTE LINDMARK,2019,19333.8
AB CIRRUSGÅRDEN TIDAHOLM,2016,34800.0
AB COB,2018,5000.0
AB COB,2019,157756.0
AB CORNÉRS MATERIALHANDEL,2016,3000.0
AB DALATRAFIK,2016,125.35
AB ECCOM ARBETSGLÄDJE-PEOPLEINNOVATION,2019,595.25
AB EFFEKTIV GÖTEBORG,2018,140948.81
AB EFFEKTIV GÖTEBORG,2019,23105.61
AB EKONOMIUTBILDNINGAR OCH KONSULTATIONER,2016,91663.0
AB ELAM  HERMELE,2016,13000.0
AB ELAM  HERMELE,2018,21500.0
AB ELGPORSLIN,2016,1651.25
AB EMIL EKLÖW EFTR.,2016,11124.0
AB ERASMIS,2016,5942.4400000000005
AB ERASMIS,2017,1009.71
AB ERASMIS,2018,12390.77
AB ERASMIS,2019,18846.96
AB EVANETTE BOUTIQUE 2000,2017,1197.6
AB EVERGREEN SOLUTIONS,2016,4712.75
